time,area,Manual,YOLO,Difference,Difference Rate
9:25:06,A,12,0,-12,-1
11:02:10,A,7,1,-6,-0.857142857
13:09:21,A,6,0,-6,-1
15:01:30,A,10,0,-10,-1
17:09:58,A,6,0,-6,-1
19:56:23,A,0,0,0,
21:23:06,A,0,0,0,
9:25:06,B,0,0,0,
11:02:10,B,0,0,0,
13:09:21,B,0,0,0,
15:01:30,B,0,0,0,
17:09:58,B,0,0,0,
19:56:23,B,0,0,0,
21:23:06,B,0,0,0,
9:25:06,C,0,0,0,
11:02:10,C,0,0,0,
13:09:21,C,0,0,0,
15:01:30,C,0,0,0,
17:09:58,C,0,0,0,
19:56:23,C,0,0,0,
21:23:06,C,0,0,0,
9:25:06,D,1,1,0,0
11:02:10,D,2,4,2,1
13:09:21,D,1,1,0,0
15:01:30,D,14,14,0,0
17:09:58,D,20,20,0,0
19:56:23,D,1,0,-1,-1
21:23:06,D,0,0,0,
9:25:06,E,0,0,0,
11:02:10,E,0,0,0,
13:09:21,E,0,0,0,
15:01:30,E,0,0,0,
17:09:58,E,0,0,0,
19:56:23,E,0,0,0,
21:23:06,E,0,0,0,
9:25:06,F,16,12,-4,-0.25
11:02:10,F,22,20,-2,-0.090909091
13:09:21,F,16,13,-3,-0.1875
15:01:30,F,21,22,1,0.047619048
17:09:58,F,23,30,7,0.304347826
19:56:23,F,8,0,-8,-1
21:23:06,F,2,0,-2,-1
