time,area,Manual,YOLO,Difference,Difference Rate
9:22:23,A,6,4,-2,-0.333333333
11:02:05,A,1,1,0,0
13:18:56,A,5,6,1,0.2
15:09:23,A,4,8,4,1
17:00:42,A,3,5,2,0.666666667
19:07:26,A,5,4,-1,-0.2
21:03:52,A,3,3,0,0
9:22:23,B,10,7,-3,-0.3
11:02:05,B,10,4,-6,-0.6
13:18:56,B,5,4,-1,-0.2
15:09:23,B,3,0,-3,-1
17:00:42,B,13,9,-4,-0.307692308
19:07:26,B,4,2,-2,-0.5
21:03:52,B,2,0,-2,-1
9:22:23,C,17,12,-5,-0.294117647
11:02:05,C,19,18,-1,-0.052631579
13:18:56,C,16,15,-1,-0.0625
15:09:23,C,11,11,0,0
17:00:42,C,16,13,-3,-0.1875
19:07:26,C,20,17,-3,-0.15
21:03:52,C,4,3,-1,-0.25
9:22:23,D,0,0,0,
11:02:05,D,0,0,0,
13:18:56,D,4,4,0,0
15:09:23,D,5,4,-1,-0.2
17:00:42,D,0,3,3,
19:07:26,D,1,1,0,0
21:03:52,D,0,0,0,
9:22:23,E,0,0,0,
11:02:05,E,0,0,0,
13:18:56,E,0,0,0,
15:09:23,E,0,0,0,
17:00:42,E,0,0,0,
19:07:26,E,0,0,0,
21:03:52,E,0,0,0,
9:22:23,F,0,0,0,
11:02:05,F,0,0,0,
13:18:56,F,0,0,0,
15:09:23,F,0,0,0,
17:00:42,F,0,0,0,
19:07:26,F,0,0,0,
21:03:52,F,0,0,0,
