time,area,Manual,YOLO,Difference,Difference Rate
9:26:43,A,9,0,-9,-1
11:07:30,A,6,2,-4,-0.666666667
13:34:41,A,1,0,-1,-1
15:00:52,A,9,4,-5,-0.555555556
17:02:29,A,7,3,-4,-0.571428571
19:37:22,A,11,0,-11,-1
21:14:26,A,2,0,-2,-1
9:26:43,B,0,0,0,
11:07:30,B,0,0,0,
13:34:41,B,0,0,0,
15:00:52,B,0,0,0,
17:02:29,B,0,0,0,
19:37:22,B,0,0,0,
21:14:26,B,0,0,0,
9:26:43,C,29,4,-25,-0.862068966
11:07:30,C,37,17,-20,-0.540540541
13:34:41,C,16,9,-7,-0.4375
15:00:52,C,15,18,3,0.2
17:02:29,C,24,18,-6,-0.25
19:37:22,C,32,5,-27,-0.84375
21:14:26,C,4,3,-1,-0.25
9:26:43,D,7,12,5,0.714285714
11:07:30,D,11,13,2,0.181818182
13:34:41,D,15,18,3,0.2
15:00:52,D,23,29,6,0.260869565
17:02:29,D,22,26,4,0.181818182
19:37:22,D,7,7,0,0
21:14:26,D,0,1,1,
9:26:43,E,11,11,0,0
11:07:30,E,10,9,-1,-0.1
13:34:41,E,4,4,0,0
15:00:52,E,7,9,2,0.285714286
17:02:29,E,6,5,-1,-0.166666667
19:37:22,E,14,5,-9,-0.642857143
21:14:26,E,0,0,0,
9:26:43,F,18,14,-4,-0.222222222
11:07:30,F,23,23,0,0
13:34:41,F,9,13,4,0.444444444
15:00:52,F,8,10,2,0.25
17:02:29,F,16,21,5,0.3125
19:37:22,F,3,3,0,0
21:14:26,F,2,3,1,0.5
